corruption_levels,cross_margin
0.0,"(0.036968398790027834,)"
0.0,"(-0.05391429707002244,)"
0.0,"(-0.029654782411410716,)"
0.0,"(0.27631826892847366,)"
0.0,"(0.39346252994898756,)"
0.0,"(0.20780582837861739,)"
0.0,"(0.23381555405135432,)"
0.0,"(0.4112460805138216,)"
0.0,"(-0.04395401114045047,)"
0.0,"(0.20079050915528673,)"
0.0,"(0.3130058214998661,)"
0.0,"(0.2657932209865011,)"
0.0,"(0.3734537212160186,)"
0.0,"(0.5084395511554222,)"
0.0,"(0.13315768398897193,)"
0.0,"(0.05531791108768752,)"
0.0,"(-0.1006812561400442,)"
0.0,"(0.49737658558824865,)"
0.0,"(0.5372973858150542,)"
0.0,"(0.200623693078751,)"
0.0,"(0.44233910810068067,)"
0.0,"(0.39803160693414025,)"
0.0,"(0.38011507026003194,)"
0.0,"(0.2195591982824865,)"
0.0,"(0.5108338372885097,)"
0.0,"(0.48755416714102917,)"
0.0,"(0.26857404995993694,)"
0.0,"(0.1787544028735431,)"
0.0,"(0.21507943712767116,)"
0.0,"(0.03435170282180869,)"
0.0,"(0.12119201600161333,)"
0.0,"(-0.0393584149434125,)"
0.0,"(0.21010100488528266,)"
0.0,"(0.47320919199427797,)"
0.0,"(0.2484048010815202,)"
0.0,"(0.23426209332500814,)"
0.0,"(0.12676489910429034,)"
0.0,"(0.3666636851229166,)"
0.0,"(0.40631197479164455,)"
0.0,"(0.335127943829949,)"
0.0,"(0.23760044420899834,)"
0.0,"(-0.21342441203421172,)"
0.0,"(0.28583326639579204,)"
0.0,"(0.07799741149877958,)"
0.0,"(0.4546584525349609,)"
0.0,"(-0.18404973374193168,)"
0.0,"(0.28034116464622827,)"
0.0,"(0.14845864642173756,)"
0.0,"(0.4169340331521665,)"
0.0,"(0.32657983857024364,)"
0.0,"(0.2426982358750102,)"
0.0,"(-0.04012554566513482,)"
0.0,"(0.05254231930449001,)"
0.0,"(0.16658622447170354,)"
0.0,"(0.4100952161613938,)"
0.0,"(0.0007981847313099033,)"
0.0,"(-0.2427479386995446,)"
0.0,"(0.21761746299365647,)"
0.0,"(0.41997637743483845,)"
0.0,"(0.09733263826406952,)"
0.0,"(0.3104913404761377,)"
0.0,"(-0.1533604057249142,)"
0.0,"(0.29405531618491526,)"
0.0,"(0.5435496705541969,)"
0.0,"(0.5065584917576528,)"
0.0,"(0.27440492527568533,)"
0.0,"(0.1700956119952767,)"
0.0,"(0.17053226219699202,)"
0.0,"(0.39400493924228064,)"
0.0,"(0.10429757348122605,)"
0.0,"(0.30083363336552904,)"
0.0,"(0.06049421987523271,)"
0.0,"(-0.2272539609172788,)"
0.0,"(0.49440296218189306,)"
0.0,"(0.0939974245250503,)"
0.0,"(0.09986270678283436,)"
0.0,"(0.23528443258422557,)"
0.0,"(0.29848061194602316,)"
0.0,"(0.24612719792063464,)"
0.0,"(0.05035352580371923,)"
0.0,"(-0.01156259596574984,)"
0.0,"(0.5731565213416879,)"
0.0,"(0.06753763917284786,)"
0.0,"(0.2761135532887554,)"
0.0,"(0.38497692630848374,)"
0.0,"(0.2868630772667767,)"
0.0,"(0.2527573686360406,)"
0.0,"(-0.04364727679717081,)"
0.0,"(0.4917942947838539,)"
0.0,"(0.40846357302626807,)"
0.0,"(0.28125543406457637,)"
0.0,"(0.49930118668645157,)"
0.0,"(0.2372907966704292,)"
0.0,"(0.4899990484686716,)"
0.0,"(0.09564287373002392,)"
0.0,"(0.25724786446991943,)"
0.0,"(0.4296697379367509,)"
0.0,"(0.3817789089395456,)"
0.0,"(0.15104601426001482,)"
0.0,"(-0.19558898354458323,)"
0.0,"(0.26909462090438324,)"
0.0,"(0.1282237352291268,)"
0.0,"(0.42477808249841,)"
0.0,"(0.29449351339808355,)"
0.0,"(0.11509917334744896,)"
0.0,"(0.5621178058855061,)"
0.0,"(-0.012205194039641105,)"
0.0,"(0.4968695680318736,)"
0.0,"(0.45121087825512307,)"
0.0,"(0.044578120295156225,)"
0.0,"(0.24536113665592202,)"
0.0,"(0.3988597248151726,)"
0.0,"(0.22009747936519444,)"
0.0,"(0.3953878030566908,)"
0.0,"(0.4464430231927827,)"
0.0,"(0.31112972154408114,)"
0.0,"(0.37551354638810985,)"
0.0,"(0.3362868719388391,)"
0.0,"(-0.04134340003213765,)"
0.0,"(0.2519123455023781,)"
0.0,"(0.5050214909935818,)"
0.0,"(0.33283377269266684,)"
0.0,"(0.31809501735643975,)"
0.0,"(0.3390722509447109,)"
0.0,"(0.2748409649588138,)"
0.0,"(0.2630886572819164,)"
0.0,"(0.13030996103968218,)"
