corruption_levels,cross_margin
0.0,"(0.49257968092205917,)"
0.0,"(0.5623219712128383,)"
0.0,"(0.5215422374676433,)"
0.0,"(0.48099288535533996,)"
0.0,"(0.5770649099456284,)"
0.0,"(0.5745448399482604,)"
0.0,"(0.5930996238539382,)"
0.0,"(0.5629059999890158,)"
0.0,"(0.5842828293207604,)"
0.0,"(0.4585214065332703,)"
0.0,"(0.5515218791552426,)"
0.0,"(0.4764111506384156,)"
0.0,"(0.5410547611994688,)"
0.0,"(0.5208948510478588,)"
0.0,"(0.5394832331846403,)"
0.0,"(0.5845945302953929,)"
0.0,"(0.4904198790572803,)"
0.0,"(0.5497756609698334,)"
0.0,"(0.5459137906157396,)"
0.0,"(0.5611153282466523,)"
0.0,"(0.5920844217102247,)"
0.0,"(0.4480656391700035,)"
0.0,"(0.5559164460449998,)"
0.0,"(0.5634968278333808,)"
0.0,"(0.5911979085712028,)"
0.0,"(0.5091614293939886,)"
0.0,"(0.49952467738461614,)"
0.0,"(0.5739295876728762,)"
0.0,"(0.5384747051096704,)"
0.0,"(0.5382206725264882,)"
0.0,"(-0.5949305654621619,)"
0.0,"(0.545932894614679,)"
0.0,"(0.5714618526909518,)"
0.0,"(0.5849488697770998,)"
0.0,"(0.5981939915541061,)"
0.0,"(0.49596989166467476,)"
0.0,"(0.567927225680765,)"
0.0,"(0.5513180696935364,)"
0.0,"(0.5129651157639386,)"
0.0,"(0.5516265021705675,)"
0.0,"(0.46099603822370144,)"
0.0,"(0.41082714904512047,)"
0.0,"(0.5663088957664468,)"
0.0,"(0.5908295110034141,)"
0.0,"(0.5344253569474804,)"
0.0,"(0.5639887108820267,)"
0.0,"(0.41084303463694577,)"
0.0,"(0.4298319600441876,)"
0.0,"(0.5650327166978463,)"
0.0,"(0.5659821876727658,)"
0.0,"(0.5899276972831948,)"
0.0,"(0.5114587032815798,)"
0.0,"(0.5695483415260628,)"
0.0,"(0.5369025202210272,)"
0.0,"(0.5275662720893253,)"
0.0,"(0.5223637863969007,)"
0.0,"(0.455677831375158,)"
0.0,"(0.572004648148929,)"
0.0,"(0.4789244570122716,)"
0.0,"(0.513297387014941,)"
0.0,"(0.5841379185288726,)"
0.0,"(0.4786854503406506,)"
0.0,"(0.5326457103483104,)"
0.0,"(0.5392379377993021,)"
0.0,"(0.5137595718898176,)"
0.0,"(0.5936369355906442,)"
0.0,"(0.5612438396365789,)"
0.0,"(0.5468111165191483,)"
0.0,"(0.395890704851701,)"
0.0,"(0.5852220563992381,)"
0.0,"(0.5860747931573653,)"
0.0,"(0.5478315053682593,)"
0.0,"(0.5551630123315462,)"
0.0,"(0.5343239921006203,)"
0.0,"(0.4758181022783984,)"
0.0,"(-0.34961632516840085,)"
0.0,"(0.3972106811654181,)"
0.0,"(0.5144410227423015,)"
0.0,"(0.5053983309106833,)"
0.0,"(0.577800269223246,)"
0.0,"(-0.40088907021446485,)"
0.0,"(0.4503639148933963,)"
0.0,"(0.5688073929997639,)"
0.0,"(0.5508136408703561,)"
0.0,"(0.57512849314252,)"
0.0,"(0.543338857407281,)"
0.0,"(0.5032155663706842,)"
0.0,"(0.5653390472275052,)"
0.0,"(0.42758855081100017,)"
0.0,"(0.5183337339988189,)"
0.0,"(0.5923293913249716,)"
0.0,"(0.5691082004652005,)"
0.0,"(0.483745146147901,)"
0.0,"(0.41085300916508716,)"
0.0,"(0.5576833253202547,)"
0.0,"(0.5368074696306492,)"
0.0,"(0.5093376935865974,)"
0.0,"(0.3986559370225818,)"
0.0,"(0.5460744453266001,)"
0.0,"(0.5965925922035906,)"
0.0,"(0.5848760005154884,)"
0.0,"(0.5561934937951811,)"
0.0,"(0.5853860790747779,)"
0.0,"(0.41065454855551514,)"
0.0,"(0.5864454368303446,)"
0.0,"(0.41081435368462604,)"
0.0,"(0.5631459451504723,)"
0.0,"(0.3921039432276165,)"
0.0,"(0.5127263461314423,)"
0.0,"(0.5678856815871376,)"
0.0,"(0.48842124881828275,)"
0.0,"(0.5532792154830682,)"
0.0,"(0.5739222647868522,)"
0.0,"(0.5303922468527192,)"
0.0,"(0.5520916620439149,)"
0.0,"(0.5612031615131198,)"
0.0,"(0.32758567526322374,)"
0.0,"(0.522538366435879,)"
0.0,"(0.5111346512057636,)"
0.0,"(0.57184069963941,)"
0.0,"(0.5433944196022845,)"
0.0,"(0.5604076659319124,)"
0.0,"(0.5673714344712082,)"
0.0,"(0.535748094537044,)"
0.0,"(0.5566361538342355,)"
0.0,"(0.4267326297637026,)"
0.0,"(0.509309806521451,)"
0.0,"(0.5322467625682004,)"
0.0,"(0.5758538369986279,)"
0.0,"(0.5934723372258884,)"
0.0,"(0.4109900129044384,)"
0.0,"(0.5444542695744694,)"
0.0,"(0.4989384944817501,)"
0.0,"(0.5529212204747473,)"
0.0,"(0.486573269040637,)"
0.0,"(0.5196803584931532,)"
0.0,"(0.5724442323552007,)"
0.0,"(0.5475025296819003,)"
0.0,"(0.5122836258541513,)"
0.0,"(0.5454416633126133,)"
0.0,"(0.4610876096697131,)"
0.0,"(0.5195638210417295,)"
0.0,"(0.5420749096070487,)"
0.0,"(0.59822690111995,)"
0.0,"(0.29405511670707535,)"
0.0,"(0.567052098977891,)"
0.0,"(0.506224751358452,)"
0.0,"(0.4696700255706572,)"
0.0,"(0.4420386856522979,)"
0.0,"(0.5544679645788615,)"
0.0,"(0.4274828401962763,)"
0.0,"(0.5139024480163382,)"
0.0,"(0.5420316278816206,)"
0.0,"(0.5696610439140002,)"
0.0,"(0.579803445628937,)"
0.0,"(0.4574524724501067,)"
0.0,"(0.4283466297600166,)"
0.0,"(0.5191768515265907,)"
0.0,"(0.5837479633038026,)"
0.0,"(0.5456420869356479,)"
0.0,"(0.533247374721403,)"
0.0,"(-0.42784487056868126,)"
0.0,"(0.48827797346936963,)"
0.0,"(0.5537375418510088,)"
0.0,"(0.5816085758383415,)"
0.0,"(0.574718911457553,)"
0.0,"(0.446644810941093,)"
0.0,"(0.564224282732297,)"
0.0,"(0.5438296020614696,)"
0.0,"(0.5801195745446489,)"
0.0,"(0.5738359930342833,)"
0.0,"(0.11292485901673141,)"
0.0,"(0.5340953877714332,)"
0.0,"(0.45359481488878367,)"
0.0,"(0.5573048529521023,)"
0.0,"(0.5393487694929286,)"
0.0,"(0.5562281219753177,)"
0.0,"(0.4684746913744731,)"
0.0,"(0.4956845151093152,)"
0.0,"(0.5668058707126431,)"
0.0,"(0.3828925385445298,)"
0.0,"(0.5698401290420669,)"
0.0,"(0.5410396968148905,)"
0.0,"(0.501229700158074,)"
0.0,"(0.5405343021845357,)"
0.0,"(0.5179185384618593,)"
0.0,"(0.5338096786194676,)"
0.0,"(0.5665714433985447,)"
0.0,"(0.5793782042831839,)"
0.0,"(0.47826024740604206,)"
0.0,"(-0.11752812206242001,)"
0.0,"(0.4566956261227782,)"
0.0,"(0.5306565792446476,)"
0.0,"(0.5681829637028796,)"
0.0,"(0.5757578528092372,)"
0.0,"(0.5640369776399123,)"
0.0,"(0.4515104993433674,)"
0.0,"(0.3832889994256656,)"
0.0,"(0.33546321823011116,)"
0.0,"(0.5454467563319501,)"
0.0,"(0.5285642978779271,)"
0.0,"(0.6042043827711572,)"
0.0,"(0.54555645384317,)"
0.0,"(0.5096789732021867,)"
0.0,"(0.613782032762231,)"
0.0,"(0.5070069950688609,)"
0.0,"(0.6493674033692978,)"
0.0,"(0.5965589468977499,)"
0.0,"(0.5303197435007139,)"
0.0,"(0.5237658851820501,)"
0.0,"(0.6412153565157913,)"
0.0,"(0.578966475630477,)"
0.0,"(0.49023240429964127,)"
0.0,"(0.5881655967132567,)"
0.0,"(0.6488178525778062,)"
0.0,"(0.5659535713559168,)"
0.0,"(0.4685545003159995,)"
0.0,"(-0.2546764094555639,)"
0.0,"(0.5397434031414953,)"
0.0,"(0.5654130433425202,)"
0.0,"(0.5051901568309174,)"
0.0,"(0.5835236340043866,)"
0.0,"(0.48394637018379066,)"
0.0,"(0.5914922962453415,)"
0.0,"(0.5835588761413613,)"
0.0,"(0.6490213363223736,)"
0.0,"(0.6047107714305916,)"
0.0,"(0.49765129024356985,)"
0.0,"(0.5983045172070157,)"
0.0,"(0.5506830733541511,)"
0.0,"(0.5240327777154475,)"
0.0,"(0.6278558976424486,)"
0.0,"(0.6139858568065929,)"
0.0,"(0.5743843706969125,)"
0.0,"(0.563243844358202,)"
0.0,"(0.5820062300725034,)"
0.0,"(0.6387682717030273,)"
0.0,"(0.6138578174026265,)"
0.0,"(0.6215284450728981,)"
0.0,"(0.6452452961139497,)"
