corruption_levels,cross_margin
0.0,"(-0.13970834878531652,)"
0.0,"(0.3608896226375014,)"
0.0,"(0.5724062590419448,)"
0.0,"(0.08583543212424882,)"
0.0,"(0.3332478709623163,)"
0.0,"(0.1872993782162315,)"
0.0,"(0.2479504994501286,)"
0.0,"(0.019322193195366436,)"
0.0,"(0.254015517925756,)"
0.0,"(0.25333709164108453,)"
0.0,"(0.3063913337713454,)"
0.0,"(0.1667686981557921,)"
0.0,"(0.2732104820868629,)"
0.0,"(-0.043116152799542944,)"
0.0,"(0.3155146939693659,)"
0.0,"(0.3500548585598493,)"
0.0,"(0.013511496111450676,)"
0.0,"(0.23624489164980766,)"
0.0,"(-0.185485031945414,)"
0.0,"(0.13128503055677426,)"
0.0,"(0.24846597961852193,)"
0.0,"(-0.006241995357201667,)"
0.0,"(0.27512470346153045,)"
0.0,"(0.24396107888499374,)"
0.0,"(0.255993870593919,)"
0.0,"(0.22726780532219568,)"
0.0,"(-0.28012729557395366,)"
0.0,"(0.2551176254161358,)"
0.0,"(0.3365858326925045,)"
0.0,"(0.2481437528836177,)"
0.0,"(0.43032395964125497,)"
0.0,"(0.3621185877822595,)"
0.0,"(-0.09743267478993994,)"
0.0,"(0.2758838628790695,)"
0.0,"(0.126467852670388,)"
0.0,"(0.220950386443783,)"
0.0,"(-0.26856254947761005,)"
0.0,"(0.2890649653588582,)"
0.0,"(0.17680458133741234,)"
0.0,"(0.013903855245680653,)"
0.0,"(0.3645772231251711,)"
0.0,"(0.044341009455259664,)"
0.0,"(-0.2678507281884691,)"
0.0,"(0.356828933705839,)"
0.0,"(0.20505691593183967,)"
0.0,"(0.48276105917048207,)"
0.0,"(-0.05217884498021719,)"
0.0,"(0.024219882487744412,)"
0.0,"(0.07761077571823355,)"
0.0,"(-0.013170425967641201,)"
0.0,"(0.5615795301555446,)"
0.0,"(0.1933266160836136,)"
0.0,"(0.5386526407763079,)"
0.0,"(0.015115887752302165,)"
0.0,"(0.09367948842625916,)"
0.0,"(0.5378442522150116,)"
0.0,"(-0.022259660152202376,)"
0.0,"(0.2694969846269679,)"
0.0,"(0.1381981276647064,)"
0.0,"(0.5137620996605619,)"
0.0,"(-0.30118025352496375,)"
0.0,"(0.27102230771023356,)"
0.0,"(0.3181991171735186,)"
0.0,"(-0.1306118394091447,)"
0.0,"(0.20207149722518747,)"
0.0,"(0.29246267458332426,)"
0.0,"(0.33640973075084163,)"
0.0,"(0.3413066847367361,)"
0.0,"(0.3090717953826562,)"
0.0,"(0.2685849303140336,)"
0.0,"(0.28896303955158575,)"
0.0,"(0.2896323283220734,)"
0.0,"(0.4847728540135721,)"
0.0,"(0.32172229609740366,)"
0.0,"(0.26287065930303427,)"
0.0,"(0.013808541193426766,)"
0.0,"(0.3174258987864312,)"
0.0,"(0.2001628574494218,)"
0.0,"(0.30075280654738906,)"
0.0,"(0.3352052829486369,)"
0.0,"(0.34179048534341017,)"
0.0,"(0.270299011301813,)"
0.0,"(0.2480543979606667,)"
0.0,"(0.28142223907228964,)"
0.0,"(0.057115894833934144,)"
0.0,"(0.049525301658944726,)"
0.0,"(0.3991663619638041,)"
0.0,"(0.20194097943906775,)"
0.0,"(0.30250932719788093,)"
0.0,"(0.31663042136277714,)"
0.0,"(0.19266810280041724,)"
0.0,"(0.13983696128233766,)"
0.0,"(0.35113579872239203,)"
0.0,"(0.18249671390350602,)"
0.0,"(0.25105712721194456,)"
0.0,"(0.002665353370885269,)"
0.0,"(0.3287047050831058,)"
0.0,"(-0.21891958285848712,)"
0.0,"(0.3688690735131845,)"
0.0,"(0.28935715546505053,)"
0.0,"(0.363881426185472,)"
0.0,"(0.31625336680703753,)"
0.0,"(0.034191585138357496,)"
0.0,"(0.0022886751335844625,)"
0.0,"(0.3741945650668932,)"
0.0,"(0.2293981074368493,)"
0.0,"(0.3396953776508678,)"
0.0,"(0.2601998746875312,)"
0.0,"(0.4357334437929543,)"
0.0,"(0.23194335019749912,)"
0.0,"(0.262531212943526,)"
0.0,"(-0.14545421408783973,)"
0.0,"(0.35303158342200486,)"
0.0,"(0.3041271346900798,)"
0.0,"(-0.11121797952067486,)"
0.0,"(-0.32548440612734286,)"
0.0,"(0.3598821360354964,)"
0.0,"(0.32158330520922435,)"
0.0,"(0.2876213285122981,)"
0.0,"(0.2004985940633077,)"
0.0,"(0.19730547231901333,)"
0.0,"(0.3756155436877488,)"
0.0,"(0.5548938308013095,)"
0.0,"(0.28658918889925344,)"
0.0,"(0.02849711674121517,)"
0.0,"(-0.06037662964099501,)"
0.0,"(0.18748383506547422,)"
0.0,"(0.04346223796915909,)"
0.0,"(0.24505676984420632,)"
0.0,"(0.0704776726166088,)"
0.0,"(0.26400287365525604,)"
0.0,"(0.10580846185226007,)"
0.0,"(0.30064414780084303,)"
0.0,"(0.020946487720527228,)"
0.0,"(0.33839894490856043,)"
0.0,"(0.25967746325530255,)"
0.0,"(0.32547950473452103,)"
0.0,"(0.5508089094660007,)"
0.0,"(-0.1930860815040396,)"
0.0,"(-0.04801646158565221,)"
0.0,"(0.19454644012715264,)"
0.0,"(0.3801734844596587,)"
0.0,"(-0.022842272793703725,)"
0.0,"(0.42571636848271205,)"
0.0,"(0.2605189067551484,)"
0.0,"(-0.05585813479046664,)"
0.0,"(0.24790305978899238,)"
0.0,"(0.30489971174906594,)"
0.0,"(-0.3249574050329105,)"
0.0,"(0.28016655384263944,)"
0.0,"(0.10599253929143185,)"
0.0,"(0.3524395945130252,)"
0.0,"(-0.24514564728096488,)"
