corruption_levels,cross_margin
0.0,"(3.4852571813824573,)"
0.0,"(3.485613109450189,)"
0.0,"(3.4845699382984825,)"
0.0,"(-3.487078489345532,)"
0.0,"(3.4852571813824573,)"
0.0,"(3.484706775764729,)"
0.0,"(3.484595890116425,)"
0.0,"(-3.4809061062297837,)"
0.0,"(-3.4863703770760712,)"
0.0,"(3.4846448967375987,)"
0.0,"(3.496974815329177,)"
0.0,"(3.4513044773566333,)"
0.0,"(3.483731739598556,)"
0.0,"(3.4846364434436157,)"
0.0,"(3.48688905832108,)"
0.0,"(-3.4891777234652555,)"
0.0,"(-3.485883573185828,)"
0.0,"(3.486944013934568,)"
0.0,"(3.4836926480347192,)"
0.0,"(3.4838321078786216,)"
0.0,"(-3.485766447600176,)"
0.0,"(3.4848068780320287,)"
0.0,"(3.4861998717044815,)"
0.0,"(3.4836926480347192,)"
0.0,"(3.484345749186817,)"
0.0,"(-3.4867909572950797,)"
0.0,"(-3.481510765612803,)"
0.0,"(3.4851365102634873,)"
0.0,"(-3.4561334649774227,)"
0.0,"(3.4842972973639412,)"
0.0,"(-3.484594946029399,)"
0.0,"(-3.485210180979784,)"
0.0,"(-3.4838376864675045,)"
0.0,"(3.4785711765473173,)"
0.0,"(3.492778138033584,)"
0.0,"(3.492778138033584,)"
0.0,"(3.4838517606817003,)"
0.0,"(-3.4836230312351395,)"
0.0,"(3.48400747237405,)"
0.0,"(3.4882876041078905,)"
0.0,"(3.485628796634764,)"
0.0,"(3.4838390825626524,)"
0.0,"(3.4866906435723153,)"
0.0,"(3.486154368692647,)"
0.0,"(3.485786017768455,)"
0.0,"(-3.484944918069024,)"
0.0,"(-3.4860250560262207,)"
0.0,"(3.491603215231389,)"
0.0,"(-3.4903905862570155,)"
0.0,"(3.481848143307548,)"
0.0,"(3.4853411795238145,)"
0.0,"(-3.4847148687004443,)"
0.0,"(3.48520401612393,)"
0.0,"(-3.484575439322128,)"
0.0,"(3.483779109629327,)"
0.0,"(3.4771645248386642,)"
0.0,"(-3.484786898818673,)"
0.0,"(3.4858586248326313,)"
0.0,"(3.4857657806147,)"
0.0,"(3.483931372123357,)"
0.0,"(3.484989883357858,)"
0.0,"(-3.4761922752474654,)"
0.0,"(3.4850566622493204,)"
0.0,"(3.4874281467802177,)"
0.0,"(3.486908599238204,)"
0.0,"(3.484966735280868,)"
0.0,"(3.4843890401237956,)"
0.0,"(-3.4810420168165392,)"
0.0,"(3.484567719552449,)"
0.0,"(3.4859398249296025,)"
0.0,"(3.4867361943365944,)"
0.0,"(3.49650664139572,)"
0.0,"(-3.4810420168165392,)"
0.0,"(3.4811733688672475,)"
0.0,"(3.332746895245017,)"
0.0,"(3.478837859323087,)"
0.0,"(3.485952901958626,)"
0.0,"(3.4883727857754425,)"
0.0,"(-3.484084395311693,)"
0.0,"(-3.484556851158504,)"
0.0,"(-3.4846424475479423,)"
0.0,"(-3.484084395311693,)"
0.0,"(3.4841866901670935,)"
0.0,"(3.4841866901670935,)"
0.0,"(3.492924285693454,)"
0.0,"(3.4852428316085518,)"
0.0,"(-3.4856009047553447,)"
0.0,"(3.4944858754291883,)"
0.0,"(3.483761781689214,)"
0.0,"(3.4845393419641395,)"
0.0,"(3.4848553368395767,)"
0.0,"(-3.4845391389315625,)"
0.0,"(3.483761781689214,)"
0.0,"(-3.4841335267647993,)"
0.0,"(-3.485711460741513,)"
0.0,"(-3.484844891382182,)"
0.0,"(-3.4857772574097092,)"
0.0,"(3.48470351698618,)"
0.0,"(-3.484844891382182,)"
0.0,"(3.489543667142603,)"
0.0,"(3.484927854951945,)"
0.0,"(3.4915631599754375,)"
0.0,"(3.490291435067432,)"
0.0,"(3.4845022495797924,)"
0.0,"(3.4910630484667298,)"
0.0,"(3.357148785529027,)"
0.0,"(-3.4805187068985104,)"
0.0,"(-3.4854714359907417,)"
0.0,"(3.484052939525199,)"
0.0,"(3.4858911365669867,)"
0.0,"(3.486154524158082,)"
0.0,"(3.483988805314124,)"
0.0,"(3.484052939525199,)"
0.0,"(-3.2194781599521853,)"
0.0,"(3.487017248527278,)"
0.0,"(-3.2194781599521853,)"
0.0,"(3.491859232990162,)"
0.0,"(3.460676463931271,)"
0.0,"(3.4840427082880208,)"
0.0,"(-3.4855328537264114,)"
0.0,"(3.4259368898059277,)"
0.0,"(3.487054148453199,)"
0.0,"(3.4946481263305005,)"
0.0,"(3.4967353385147044,)"
0.0,"(3.4946481263305005,)"
0.0,"(3.4967353385147044,)"
0.0,"(-3.4854142008634703,)"
0.0,"(3.4891666449486762,)"
0.0,"(3.486891377226029,)"
0.0,"(-3.4845426320903687,)"
0.0,"(3.4846363464453622,)"
0.0,"(3.485967823565649,)"
0.0,"(3.4843433437288405,)"
0.0,"(-3.477489994299757,)"
0.0,"(3.4870081734136726,)"
0.0,"(-3.485352615348759,)"
0.0,"(-3.485352615348759,)"
0.0,"(-3.480991811643561,)"
0.0,"(3.4846849632055172,)"
0.0,"(3.4847571787511447,)"
0.0,"(3.4853342308292317,)"
0.0,"(3.4839565419407004,)"
0.0,"(3.4839565419407004,)"
0.0,"(3.4837489889065676,)"
0.0,"(3.4844018389795126,)"
0.0,"(-3.4843251566210505,)"
0.0,"(3.4863641794775844,)"
0.0,"(3.485020354759398,)"
0.0,"(3.4862199408728336,)"
0.0,"(3.4866628844874383,)"
0.0,"(3.4879409424298324,)"
0.0,"(-3.4862650394274137,)"
0.0,"(3.489148088945223,)"
0.0,"(3.4848553808008935,)"
0.0,"(3.4848553808008935,)"
0.0,"(3.487424744524479,)"
0.0,"(3.4857925544610056,)"
0.0,"(-3.4890254951637516,)"
0.0,"(-3.3077992104699505,)"
0.0,"(3.443786521328237,)"
0.0,"(4.16988235617884,)"
0.0,"(4.170146595053923,)"
0.0,"(4.1696728655162945,)"
