"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"0","43.31904815467826","45.682608403907686","0.016357421875","0.027099609375","0.005615234375","1560","0.002275461462014554","24","0.002275461462014554","0","0.002275461462014554","0.002275461462014554","1:68","1:0.010202155482934266","1:0.00805930754787354","0.016357421875","Yes"
"1","182.43651954462544","204.05172321184844","0.0272216796875","0.027099609375","0.02734375","1560","0.0008858943669177639","24","0.0008858943669177639","0","0.0008858943669177639","0.0008858943669177639","2:68;0:68","2:0.0016536430372503519;0:0.010202155482934266","2:0.0016322104182646957;0:0.00805930754787354","0.0272216796875","Yes"
"2","238.58243208541364","170.09503866082127","0.0078125","0.009033203125","0.006591796875","1560","0.00017347090887544653","24","0.00017347090887544653","0","0.00017347090887544653","0.00017347090887544653","1:68;3:68","1:0.0016536430372503519;3:0.003181214539962618","1:0.0016322104182646957;3:0.001431714482324653","0.0078125","Yes"
"3","175.1260268470872","215.42201827177908","0.043212890625","0.04052734375","0.0458984375","1560","0.00033919637753128515","24","0.00033919637753128515","0","0.00033919637753128515","0.00033919637753128515","16:68;2:68;4:68","16:0.004375499571503683;2:0.003181214539962618;4:0.0036566884711501935","16:0.001784305136783404;2:0.001431714482324653;4:0.0017041814919505904","0.043212890625","Yes"
"4","213.46200994745757","146.66756214600474","0.010498046875","0.0185546875","0.00244140625","1560","0.0006474778103813921","24","0.0006474778103813921","0","0.0006474778103813921","0.0006474778103813921","3:68;5:68","3:0.0036566884711501935;5:0.005356376607241559","3:0.0017041814919505904;5:0.002178119653201277","0.010498046875","Yes"
"5","192.4644472950699","170.58341189509278","0.050537109375","0.044677734375","0.056396484375","1560","0.00022920831831902696","24","0.00022920831831902696","0","0.00022920831831902696","0.00022920831831902696","6:68;4:68","6:0.015027781717879635;4:0.005356376607241559","6:0.006657689943363604;4:0.002178119653201277","0.050537109375","Yes"
"6","243.350344603969","185.00492440214043","0.0201416015625","0.0146484375","0.025634765625","1560","0.00042859495948155396","24","0.00042859495948155396","0","0.00042859495948155396","0.00042859495948155396","5:68;7:68","5:0.015027781717879635;7:0.0022599393901498455","5:0.006657689943363604;7:0.00263234748304611","0.0201416015625","Yes"
"7","155.352534716226","39.789871105299035","0.0277099609375","0.0361328125","0.019287109375","1560","0.0003947952737725949","24","0.0003947952737725949","0","0.0003947952737725949","0.0003947952737725949","17:68;6:68;8:68","17:0.003028043701846145;6:0.0022599393901498455;8:0.0023921389149705596","17:0.0031236257058134542;6:0.00263234748304611;8:0.00268156216268578","0.0277099609375","Yes"
"8","144.44061911784993","33.55331570488943","0.00927734375","0.01171875","0.0068359375","1560","0.00037037555431809944","24","0.00037037555431809944","0","0.00037037555431809944","0.00037037555431809944","9:68;7:68","9:0.002059248440551331;7:0.0023921389149705596","9:0.0023818315833544212;7:0.00268156216268578","0.00927734375","Yes"
"9","203.34803087581017","27.921856383626686","0.0155029296875","0.02099609375","0.010009765625","1560","0.00031083137855923373","24","0.00031083137855923373","0","0.00031083137855923373","0.00031083137855923373","8:68;10:68","8:0.002059248440551331;10:0.0016504731922374616","8:0.0023818315833544212;10:0.002957643961028822","0.0155029296875","Yes"
"10","150.95519909569575","109.683191219663","0.0098876953125","0.0107421875","0.011962890625","1560","0.0001495033767336078","24","0.0001495033767336078","0","0.0001495033767336078","0.0001495033767336078","9:68;11:68","9:0.0016504731922374616;11:0.009830004903722545","9:0.002957643961028822;11:0.006086007254057391","0.0098876953125","Yes"
"11","76.64298531151402","5.60267362308933","0.06640625","0.0771484375","0.0556640625","1560","0.0019402996414876904","24","0.0019402996414876904","0","0.0019402996414876904","0.0019402996414876904","18:68;10:68;12:68","18:0.011177300873409401;10:0.009830004903722545;12:0.007816147974165383","18:0.0030825170911776;10:0.006086007254057391;12:0.0036556549371319913","0.06640625","Yes"
"12","77.63365047262175","73.99965477051201","0.0216064453125","0.02783203125","0.015380859375","1560","0.0003906675838626895","24","0.0003906675838626895","0","0.0003906675838626895","0.0003906675838626895","13:68;11:68","13:0.005424452352254333;11:0.007816147974165383","13:0.0036821066999548624;11:0.0036556549371319913","0.0216064453125","Yes"
